android.permission.FORCE_BACK,android.permission.READ_SOCIAL_STREAM,android.permission.INTERNET,android.permission.BIND_DREAM_SERVICE,android.permission.BIND_TV_INPUT,android.permission.BIND_VPN_SERVICE,android.permission.WRITE_CALL_LOG,android.permission.WRITE_SECURE_SETTINGS,android.permission.CALL_PRIVILEGED,android.permission.MOUNT_FORMAT_FILESYSTEMS,android.permission.BRICK,android.permission.CHANGE_WIFI_STATE,android.permission.READ_PROFILE,android.permission.SET_PROCESS_LIMIT,android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,android.permission.ACCESS_ALL_DOWNLOADS,android.permission.STOP_APP_SWITCHES,android.permission.CONTROL_LOCATION_UPDATES,android.permission.UPDATE_APP_OPS_STATS,android.permission.REBOOT,android.permission.BROADCAST_WAP_PUSH,com.android.launcher3.permission.READ_SETTINGS,android.permission.STATUS_BAR,android.permission.BROADCAST_PACKAGE_REMOVED,android.permission.RECEIVE_SMS,android.permission.WRITE_CONTACTS,android.permission.READ_CONTACTS,android.permission.BIND_APPWIDGET,android.permission.INSTALL_LOCATION_PROVIDER,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,android.permission.WRITE_SETTINGS,android.permission.BIND_REMOTEVIEWS,com.android.email.permission.ACCESS_PROVIDER,android.permission.BIND_VOICE_INTERACTION,com.android.launcher.permission.WRITE_SETTINGS,android.permission.BIND_PRINT_SERVICE,android.permission.USE_SIP,android.permission.ACCESS_SURFACE_FLINGER,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.WRITE_CALENDAR,android.permission.SEND_SMS,android.permission.ACCESS_MOCK_LOCATION,android.permission.BIND_ACCESSIBILITY_SERVICE,android.permission.WRITE_SMS,android.permission.GET_TASKS,android.permission.DELETE_PACKAGES,android.permission.SEND_RESPOND_VIA_MESSAGE,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.FLASHLIGHT,android.permission.CLEAR_APP_USER_DATA,android.permission.BROADCAST_SMS,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.READ_FRAME_BUFFER,android.permission.RECEIVE_MMS,com.android.launcher3.permission.WRITE_SETTINGS,android.permission.RESTART_PACKAGES,android.permission.CHANGE_NETWORK_STATE,android.permission.DISABLE_KEYGUARD,android.permission.WRITE_MEDIA_STORAGE,android.permission.SET_POINTER_SPEED,android.permission.REORDER_TASKS,android.permission.SET_WALLPAPER,android.permission.READ_CALL_LOG,android.permission.GET_PACKAGE_SIZE,android.permission.INSTALL_PACKAGES,android.permission.INTERNAL_SYSTEM_WINDOW,android.permission.SET_ACTIVITY_WATCHER,android.permission.BATTERY_STATS,android.permission.GLOBAL_SEARCH,android.permission.BIND_NFC_SERVICE,android.permission.PACKAGE_USAGE_STATS,android.permission.SET_ALWAYS_FINISH,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,class
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
