android.permission.BIND_WALLPAPER,android.permission.FORCE_BACK,android.permission.READ_CALENDAR,android.permission.BODY_SENSORS,android.permission.READ_SOCIAL_STREAM,android.permission.READ_SYNC_STATS,android.permission.BIND_DREAM_SERVICE,android.permission.HARDWARE_TEST,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,android.permission.BIND_TV_INPUT,android.permission.BIND_VPN_SERVICE,android.permission.BLUETOOTH_PRIVILEGED,android.permission.BIND_INPUT_METHOD,android.permission.WRITE_SYNC_SETTINGS,android.permission.WRITE_GSERVICES,android.permission.SET_ORIENTATION,android.permission.CALL_PRIVILEGED,android.permission.MOUNT_FORMAT_FILESYSTEMS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.BRICK,android.permission.MODIFY_PHONE_STATE,android.permission.READ_PROFILE,android.permission.ACCOUNT_MANAGER,android.permission.SET_ANIMATION_SCALE,android.permission.SET_PROCESS_LIMIT,android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,android.permission.SET_PREFERRED_APPLICATIONS,android.permission.ACCESS_ALL_DOWNLOADS,android.permission.SET_DEBUG_APP,android.permission.STOP_APP_SWITCHES,android.permission.BLUETOOTH,android.permission.SET_WALLPAPER_HINTS,android.permission.CONTROL_LOCATION_UPDATES,android.permission.UPDATE_APP_OPS_STATS,android.permission.BROADCAST_WAP_PUSH,com.android.launcher3.permission.READ_SETTINGS,android.permission.STATUS_BAR,android.permission.WRITE_USER_DICTIONARY,com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.BROADCAST_PACKAGE_REMOVED,android.permission.WRITE_CONTACTS,android.permission.READ_CONTACTS,android.permission.BIND_APPWIDGET,android.permission.SIGNAL_PERSISTENT_PROCESSES,android.permission.INSTALL_LOCATION_PROVIDER,android.permission.ACCESS_DOWNLOAD_MANAGER_ADVANCED,android.permission.MASTER_CLEAR,android.permission.BIND_REMOTEVIEWS,com.android.email.permission.ACCESS_PROVIDER,android.permission.BIND_VOICE_INTERACTION,com.android.launcher.permission.WRITE_SETTINGS,android.permission.BIND_PRINT_SERVICE,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.USE_SIP,android.permission.WRITE_APN_SETTINGS,android.permission.ACCESS_SURFACE_FLINGER,android.permission.FACTORY_TEST,android.permission.UPDATE_DEVICE_STATS,android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,android.permission.WRITE_CALENDAR,android.permission.NFC,android.permission.INTERACT_ACROSS_USERS_FULL,android.permission.BIND_ACCESSIBILITY_SERVICE,android.permission.CAPTURE_AUDIO_OUTPUT,android.permission.DELETE_PACKAGES,android.permission.ACCESS_CHECKIN_PROPERTIES,android.permission.SEND_RESPOND_VIA_MESSAGE,android.permission.MEDIA_CONTENT_CONTROL,android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.DIAGNOSTIC,android.permission.WRITE_PROFILE,android.permission.CALL_PHONE,android.permission.CHANGE_COMPONENT_ENABLED_STATE,android.permission.CLEAR_APP_USER_DATA,android.permission.BROADCAST_SMS,android.permission.READ_FRAME_BUFFER,android.permission.SUBSCRIBED_FEEDS_WRITE,android.permission.RECEIVE_MMS,android.permission.ACCESS_DOWNLOAD_MANAGER,com.android.launcher3.permission.WRITE_SETTINGS,android.permission.READ_SYNC_SETTINGS,com.android.launcher.permission.UNINSTALL_SHORTCUT,android.permission.READ_USER_DICTIONARY,android.permission.WRITE_MEDIA_STORAGE,com.android.email.permission.READ_ATTACHMENT,android.permission.BACKUP,android.permission.ACCESS_FINE_LOCATION,android.permission.PERSISTENT_ACTIVITY,android.permission.REORDER_TASKS,android.permission.DEVICE_POWER,android.permission.SET_WALLPAPER,android.permission.INSTALL_PACKAGES,com.android.launcher.permission.READ_SETTINGS,com.android.alarm.permission.SET_ALARM,android.permission.INTERNAL_SYSTEM_WINDOW,android.permission.CAPTURE_VIDEO_OUTPUT,android.permission.GET_TOP_ACTIVITY_INFO,android.permission.BATTERY_STATS,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,class
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
