com.android.launcher.permission.UNINSTALL_SHORTCUT,android.permission.BLUETOOTH,android.permission.BLUETOOTH_ADMIN,android.permission.CLEAR_APP_CACHE,class
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
1,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
0,0,0,0,0
1,0,0,0,0
1,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,1,1,0,0
0,0,0,0,0
